m,merr,pt,p
5298.43,16.286,9115.37380237,218614.630362
5294.039,19.503,18543.2128724,290559.059141
5807.907,20.547,17919.0990121,285204.236229
5287.025,11.331,3829.72325639,70521.5447205
5279.86,10.669,8136.46414031,57651.802034
5871.561,13.179,5276.25447537,81540.0457468
5265.609,11.055,6387.19657538,62445.1358759
5056.988,11.54,8521.52481019,124153.571061
5280.55,11.536,8522.00262045,124151.798127
5850.869,14.257,12501.3333876,242070.151402
5361.865,12.898,3060.35215359,58828.2065204
5403.667,21.238,10461.4807686,147797.35032
5283.748,13.323,12970.5955161,119959.035742
5293.127,17.587,18965.0348153,211473.991026
5081.53,21.221,6678.05562649,256487.961425
5619.602,14.5,7409.11135864,205954.952413
5258.062,22.944,7540.28085857,311702.2655
5175.663,10.481,2688.39050915,68600.6778801
5268.004,14.609,3501.41356532,145795.230982
5234.641,11.092,5746.10069707,106128.209762
5919.779,22.22,2386.51857443,128308.866298
6307.39,22.398,2387.10152914,128310.406877
5262.237,10.06,918.298893498,50926.4100007
5421.835,10.232,9894.06217618,50187.3843944
5285.635,12.718,15279.6828747,130329.664338
5339.091,15.101,6550.93277728,180427.934042
5274.699,11.513,659.904794118,56715.67923
5280.575,13.882,3335.89779761,123039.950268
5239.366,20.075,31724.3620203,338829.61333
5391.125,20.681,38895.1536335,603935.061276
5370.274,12.281,10455.6805276,91619.9668941
5315.475,13.737,4632.9524567,85026.8142924
5248.845,10.946,9643.09270444,71261.8321508
5202.294,17.305,11557.1532798,211186.598813
5304.565,14.941,10501.9221347,146184.89699
5022.897,14.11,19210.800891,168395.645671
5226.264,13.981,19212.5025083,168399.942835
5608.69,11.907,8072.85905355,74479.3137345
5288.245,10.231,7779.29105318,44590.6614656
5482.592,14.877,14088.707913,255457.298551
5285.95,10.515,1878.67271362,48666.4347656
5516.1,13.065,9628.2617205,97496.6234562
5411.034,14.914,10431.0441097,154030.394617
5279.871,10.901,6062.18813816,95485.9616253
5292.352,11.262,3214.07670441,70773.4590454
5279.096,10.705,5149.86136144,63210.6624892
5275.46,14.319,13669.9211521,168931.07415
5231.663,10.048,7538.51670488,57069.6348447
5394.692,11.556,3451.11984611,91679.6986735
5613.221,13.238,8052.13805655,126667.562511
5277.18,12.699,2301.22698203,135662.749089
5159.586,15.494,1802.7419974,183887.796793
5801.345,17.358,959.719148553,203025.728348
